_c0,signal_std,signal_rad,pluie,timestamp
2022-06-29T03:13:00.000+02:00,-22.416264,-29.228054,0,2022-06-29T03:13:00.000+02:00
2022-06-29T03:14:00.000+02:00,-22.374716,-29.271378,0,2022-06-29T03:14:00.000+02:00
2022-06-29T03:15:00.000+02:00,-22.378977,-29.277414,0,2022-06-29T03:15:00.000+02:00
2022-06-29T03:16:00.000+02:00,-22.394247,-29.301918,0,2022-06-29T03:16:00.000+02:00
2022-06-29T03:17:00.000+02:00,-22.360157,-29.320028,0,2022-06-29T03:17:00.000+02:00
2022-06-29T03:18:00.000+02:00,-22.334944,-29.321095,0,2022-06-29T03:18:00.000+02:00
2022-06-29T03:19:00.000+02:00,-22.349148,-29.300142,0,2022-06-29T03:19:00.000+02:00
2022-06-29T03:20:00.000+02:00,-22.388565,-29.300854,0,2022-06-29T03:20:00.000+02:00
2022-06-29T03:21:00.000+02:00,-22.40206,-29.29446,0,2022-06-29T03:21:00.000+02:00
2022-06-29T03:22:00.000+02:00,-22.362997,-29.296947,0,2022-06-29T03:22:00.000+02:00
2022-06-29T03:23:00.000+02:00,-22.360512,-29.307598,0,2022-06-29T03:23:00.000+02:00
2022-06-29T03:24:00.000+02:00,-22.349857,-29.319319,0,2022-06-29T03:24:00.000+02:00
2022-06-29T03:25:00.000+02:00,-22.405256,-29.329617,0,2022-06-29T03:25:00.000+02:00
2022-06-29T03:26:00.000+02:00,-22.343111,-29.316122,0,2022-06-29T03:26:00.000+02:00
2022-06-29T03:27:00.000+02:00,-22.378267,-29.304403,0,2022-06-29T03:27:00.000+02:00
2022-06-29T03:28:00.000+02:00,-22.374716,-29.303337,0,2022-06-29T03:28:00.000+02:00
2022-06-29T03:29:00.000+02:00,-22.360867,-29.294106,0,2022-06-29T03:29:00.000+02:00
2022-06-29T03:30:00.000+02:00,-22.37081,-29.317898,0,2022-06-29T03:30:00.000+02:00
2022-06-29T03:31:00.000+02:00,-22.376846,-29.333523,0,2022-06-29T03:31:00.000+02:00
2022-06-29T03:32:00.000+02:00,-22.340271,-29.345951,0,2022-06-29T03:32:00.000+02:00
