_c0,signal_std,signal_rad,pluie,timestamp
2022-09-17T23:28:00.000+02:00,-22.541618,-29.34382,0,2022-09-17T23:28:00.000+02:00
2022-09-17T23:29:00.000+02:00,-22.530256,-29.347727,0,2022-09-17T23:29:00.000+02:00
2022-09-17T23:30:00.000+02:00,-22.545525,-29.339205,0,2022-09-17T23:30:00.000+02:00
2022-09-17T23:31:00.000+02:00,-22.52493,-29.348083,0,2022-09-17T23:31:00.000+02:00
2022-09-17T23:32:00.000+02:00,-22.541975,-29.354118,0,2022-09-17T23:32:00.000+02:00
2022-09-17T23:33:00.000+02:00,-22.531677,-29.344887,0,2022-09-17T23:33:00.000+02:00
2022-09-17T23:34:00.000+02:00,-22.533806,-29.34169,0,2022-09-17T23:34:00.000+02:00
2022-09-17T23:35:00.000+02:00,-22.52919,-29.348793,0,2022-09-17T23:35:00.000+02:00
2022-09-17T23:36:00.000+02:00,-22.540554,-29.345951,0,2022-09-17T23:36:00.000+02:00
2022-09-17T23:37:00.000+02:00,-22.52493,-29.332104,0,2022-09-17T23:37:00.000+02:00
2022-09-17T23:38:00.000+02:00,-22.525284,-29.334944,0,2022-09-17T23:38:00.000+02:00
2022-09-17T23:39:00.000+02:00,-22.539135,-29.328552,0,2022-09-17T23:39:00.000+02:00
2022-09-17T23:40:00.000+02:00,-22.544106,-29.33885,0,2022-09-17T23:40:00.000+02:00
2022-09-17T23:41:00.000+02:00,-22.538424,-29.336008,0,2022-09-17T23:41:00.000+02:00
2022-09-17T23:42:00.000+02:00,-22.5299,-29.335653,0,2022-09-17T23:42:00.000+02:00
2022-09-17T23:43:00.000+02:00,-22.533808,-29.333168,0,2022-09-17T23:43:00.000+02:00
2022-09-17T23:44:00.000+02:00,-22.538069,-29.332813,0,2022-09-17T23:44:00.000+02:00
2022-09-17T23:45:00.000+02:00,-22.537003,-29.333878,0,2022-09-17T23:45:00.000+02:00
2022-09-17T23:46:00.000+02:00,-22.548367,-29.325,0,2022-09-17T23:46:00.000+02:00
2022-09-17T23:47:00.000+02:00,-22.532742,-29.331392,1,2022-09-17T23:47:00.000+02:00
2022-09-17T23:48:00.000+02:00,-22.5473,-29.316477,1,2022-09-17T23:48:00.000+02:00
2022-09-17T23:49:00.000+02:00,-22.531677,-29.323225,1,2022-09-17T23:49:00.000+02:00
2022-09-17T23:50:00.000+02:00,-22.538424,-29.32429,1,2022-09-17T23:50:00.000+02:00
2022-09-17T23:51:00.000+02:00,-22.546236,-29.309374,1,2022-09-17T23:51:00.000+02:00
2022-09-17T23:52:00.000+02:00,-22.55618,-29.27706,1,2022-09-17T23:52:00.000+02:00
2022-09-17T23:53:00.000+02:00,-22.584589,-29.243324,1,2022-09-17T23:53:00.000+02:00
2022-09-17T23:54:00.000+02:00,-22.57145,-29.262144,1,2022-09-17T23:54:00.000+02:00
2022-09-17T23:55:00.000+02:00,-22.578196,-29.246521,1,2022-09-17T23:55:00.000+02:00
2022-09-17T23:56:00.000+02:00,-22.596663,-29.225924,1,2022-09-17T23:56:00.000+02:00
