_c0,signal_std,signal_rad,pluie,timestamp
2022-12-08T01:40:00.000+01:00,-22.537003,-29.48693,0,2022-12-08T01:40:00.000+01:00
2022-12-08T01:41:00.000+01:00,-22.545881,-29.48196,0,2022-12-08T01:41:00.000+01:00
2022-12-08T01:42:00.000+01:00,-22.533806,-29.48267,0,2022-12-08T01:42:00.000+01:00
2022-12-08T01:43:00.000+01:00,-22.5299,-29.476633,0,2022-12-08T01:43:00.000+01:00
2022-12-08T01:44:00.000+01:00,-22.522799,-29.480894,0,2022-12-08T01:44:00.000+01:00
2022-12-08T01:45:00.000+01:00,-22.537003,-29.476988,0,2022-12-08T01:45:00.000+01:00
2022-12-08T01:46:00.000+01:00,-22.534163,-29.474857,0,2022-12-08T01:46:00.000+01:00
2022-12-08T01:47:00.000+01:00,-22.535227,-29.476278,0,2022-12-08T01:47:00.000+01:00
2022-12-08T01:48:00.000+01:00,-22.541618,-29.48196,0,2022-12-08T01:48:00.000+01:00
2022-12-08T01:49:00.000+01:00,-22.544815,-29.481606,0,2022-12-08T01:49:00.000+01:00
2022-12-08T01:50:00.000+01:00,-22.554049,-29.48409,0,2022-12-08T01:50:00.000+01:00
2022-12-08T01:51:00.000+01:00,-22.545881,-29.47983,0,2022-12-08T01:51:00.000+01:00
2022-12-08T01:52:00.000+01:00,-22.52706,-29.471306,0,2022-12-08T01:52:00.000+01:00
2022-12-08T01:53:00.000+01:00,-22.533451,-29.474148,0,2022-12-08T01:53:00.000+01:00
2022-12-08T01:54:00.000+01:00,-22.515696,-29.474148,0,2022-12-08T01:54:00.000+01:00
2022-12-08T01:55:00.000+01:00,-22.511435,-29.461365,0,2022-12-08T01:55:00.000+01:00
2022-12-08T01:56:00.000+01:00,-22.522444,-29.46669,0,2022-12-08T01:56:00.000+01:00
2022-12-08T01:57:00.000+01:00,-22.54304,-29.476635,0,2022-12-08T01:57:00.000+01:00
2022-12-08T01:58:00.000+01:00,-22.54233,-29.479118,0,2022-12-08T01:58:00.000+01:00
2022-12-08T01:59:00.000+01:00,-22.544106,-29.474857,0,2022-12-08T01:59:00.000+01:00
2022-12-08T02:00:00.000+01:00,-22.541264,-29.479475,0,2022-12-08T02:00:00.000+01:00
2022-12-08T02:01:00.000+01:00,-22.534872,-29.475924,0,2022-12-08T02:01:00.000+01:00
2022-12-08T02:02:00.000+01:00,-22.546236,-29.487642,0,2022-12-08T02:02:00.000+01:00
2022-12-08T02:03:00.000+01:00,-22.550497,-29.485512,0,2022-12-08T02:03:00.000+01:00
2022-12-08T02:04:00.000+01:00,-22.544815,-29.478409,0,2022-12-08T02:04:00.000+01:00
2022-12-08T02:05:00.000+01:00,-22.54375,-29.48054,0,2022-12-08T02:05:00.000+01:00
2022-12-08T02:06:00.000+01:00,-22.548367,-29.48409,0,2022-12-08T02:06:00.000+01:00
2022-12-08T02:07:00.000+01:00,-22.54446,-29.482315,0,2022-12-08T02:07:00.000+01:00
2022-12-08T02:08:00.000+01:00,-22.54446,-29.475212,0,2022-12-08T02:08:00.000+01:00
2022-12-08T02:09:00.000+01:00,-22.52635,-29.46598,0,2022-12-08T02:09:00.000+01:00
2022-12-08T02:10:00.000+01:00,-22.532032,-29.46669,0,2022-12-08T02:10:00.000+01:00
2022-12-08T02:11:00.000+01:00,-22.518538,-29.456392,0,2022-12-08T02:11:00.000+01:00
2022-12-08T02:12:00.000+01:00,-22.481249,-29.430115,0,2022-12-08T02:12:00.000+01:00
2022-12-08T02:13:00.000+01:00,-22.484447,-29.41804,0,2022-12-08T02:13:00.000+01:00
2022-12-08T02:14:00.000+01:00,-22.48196,-29.40632,0,2022-12-08T02:14:00.000+01:00
2022-12-08T02:15:00.000+01:00,-22.470596,-29.4049,0,2022-12-08T02:15:00.000+01:00
2022-12-08T02:16:00.000+01:00,-22.46669,-29.40206,0,2022-12-08T02:16:00.000+01:00
2022-12-08T02:17:00.000+01:00,-22.46598,-29.40135,0,2022-12-08T02:17:00.000+01:00
2022-12-08T02:18:00.000+01:00,-22.46598,-29.399574,0,2022-12-08T02:18:00.000+01:00
2022-12-08T02:19:00.000+01:00,-22.470242,-29.398508,0,2022-12-08T02:19:00.000+01:00
2022-12-08T02:20:00.000+01:00,-22.458168,-29.39034,0,2022-12-08T02:20:00.000+01:00
2022-12-08T02:21:00.000+01:00,-22.470951,-29.391762,0,2022-12-08T02:21:00.000+01:00
2022-12-08T02:22:00.000+01:00,-22.470951,-29.393892,0,2022-12-08T02:22:00.000+01:00
2022-12-08T02:23:00.000+01:00,-22.468111,-29.394602,0,2022-12-08T02:23:00.000+01:00
2022-12-08T02:24:00.000+01:00,-22.474148,-29.396378,0,2022-12-08T02:24:00.000+01:00
2022-12-08T02:25:00.000+01:00,-22.479475,-29.392826,0,2022-12-08T02:25:00.000+01:00
2022-12-08T02:26:00.000+01:00,-22.468822,-29.40348,0,2022-12-08T02:26:00.000+01:00
2022-12-08T02:27:00.000+01:00,-22.484802,-29.408806,0,2022-12-08T02:27:00.000+01:00
2022-12-08T02:28:00.000+01:00,-22.488352,-29.413069,0,2022-12-08T02:28:00.000+01:00
2022-12-08T02:29:00.000+01:00,-22.486933,-29.410227,0,2022-12-08T02:29:00.000+01:00
2022-12-08T02:30:00.000+01:00,-22.49723,-29.41875,0,2022-12-08T02:30:00.000+01:00
2022-12-08T02:31:00.000+01:00,-22.497585,-29.425852,0,2022-12-08T02:31:00.000+01:00
2022-12-08T02:32:00.000+01:00,-22.501846,-29.428692,0,2022-12-08T02:32:00.000+01:00
2022-12-08T02:33:00.000+01:00,-22.519602,-29.4326,0,2022-12-08T02:33:00.000+01:00
2022-12-08T02:34:00.000+01:00,-22.537357,-29.451065,0,2022-12-08T02:34:00.000+01:00
2022-12-08T02:35:00.000+01:00,-22.565413,-29.476635,0,2022-12-08T02:35:00.000+01:00
2022-12-08T02:36:00.000+01:00,-22.570028,-29.502558,0,2022-12-08T02:36:00.000+01:00
2022-12-08T02:37:00.000+01:00,-22.584232,-29.514631,0,2022-12-08T02:37:00.000+01:00
2022-12-08T02:38:00.000+01:00,-22.598436,-29.52848,0,2022-12-08T02:38:00.000+01:00
2022-12-08T02:39:00.000+01:00,-22.616194,-29.537357,0,2022-12-08T02:39:00.000+01:00
2022-12-08T02:40:00.000+01:00,-22.625782,-29.548012,0,2022-12-08T02:40:00.000+01:00
2022-12-08T02:41:00.000+01:00,-22.629688,-29.556534,0,2022-12-08T02:41:00.000+01:00
2022-12-08T02:42:00.000+01:00,-22.636435,-29.558666,0,2022-12-08T02:42:00.000+01:00
2022-12-08T02:43:00.000+01:00,-22.646023,-29.57074,0,2022-12-08T02:43:00.000+01:00
2022-12-08T02:44:00.000+01:00,-22.646378,-29.572159,0,2022-12-08T02:44:00.000+01:00
