2023-12-18T18:11:27.814490+01:00 0x000041c4         Scenario: shell_peristent_storage_read [stop,abandoned] InstanceId:221099de-975f-4280-83c0-1ac250c03934, Scenario.Mode:1, Scenario.Name:shell_peristent_storage_read, Scenario.Status:abandoned, Scenario.Step:stop, delta:0, elapsed:65, elapsedSinceProcessStart:377, error:no such file or directory, eventpdclevel:1, fileName:configuration.json, previousStep:start, sequence:1, stepDelta:0
2023-12-18T18:11:27.814490+01:00 0x000041c4         Scenario: shell_peristent_storage_read [start,success] Scenario.Status:success, Scenario.Step:start, delta:0, elapsed:65, elapsedSinceProcessStart:377, eventpdclevel:1, sequence:0
2023-12-18T18:11:27.814490+01:00 0x000041c4         Scenario: shell_peristent_storage_read [stop,abandoned] InstanceId:39a93c09-3273-4eae-9861-9894cfabf090, Scenario.Mode:1, Scenario.Name:shell_peristent_storage_read, Scenario.Status:abandoned, Scenario.Step:stop, delta:0, elapsed:65, elapsedSinceProcessStart:377, error:no such file or directory, eventpdclevel:1, fileName:configuration.json, previousStep:start, sequence:1, stepDelta:0
2023-12-18T18:11:27.814490+01:00 0x000041c4         Scenario: shell_peristent_storage_read [start,success] Scenario.Status:success, Scenario.Step:start, delta:0, elapsed:65, elapsedSinceProcessStart:377, eventpdclevel:1, sequence:0
2023-12-18T18:11:27.815024+01:00 0x000041c4         Scenario: shell_peristent_storage_read [stop,abandoned] InstanceId:12e296aa-faed-4e41-81d6-503d0be09918, Scenario.Mode:1, Scenario.Name:shell_peristent_storage_read, Scenario.Status:abandoned, Scenario.Step:stop, delta:1, elapsed:66, elapsedSinceProcessStart:378, error:no such file or directory, eventpdclevel:1, fileName:configuration.json, previousStep:start, sequence:1, stepDelta:1
2023-12-18T18:11:27.825174+01:00 0x000041c4         Scenario: shell_ecs_cache [start,success] Scenario.Status:success, Scenario.Step:start, delta:0, elapsed:78, elapsedSinceProcessStart:390, eventpdclevel:1, sequence:0
2023-12-18T18:11:27.830113+01:00 0x000041c4         Scenario: shell_ecs_cache [stop,success] InstanceId:da71b4b4-2acd-44fd-bc19-0bc5b39b7537, LatestVersion:23320.3021.2567.4799, LatestVersionPath:/BuildSettings/WebView2Canary/x64/latestVersion, Scenario.Mode:1, Scenario.Name:shell_ecs_cache, Scenario.Status:success, Scenario.Step:stop, StatusCode:200, TeamsBuilds:["arm64","macOS","x64","x86"], TeamsWebView2:["app","auth","autostart","core","deviceCapability","ecs","extensibility","files","logging","m365links","meetNow","nativeModules","security","systemTray","taskbar","telemetry","thirdPartyDevices","tma","toasts","update","uxStateError","webLauncher","webNrc","webview","windowcontrols"], configExpiryTimeInSec:0, delta:5, elapsed:83, elapsedSinceProcessStart:395, eventpdclevel:1, expiry:Mon, 18 Dec 2023 17:36:54 GMT, previousStep:start, process:updater, requestParameters:{"ClientId":"720bc908-8c03-4c24-ac33-cc7175733a52","aaduserid":"820f99c3-ec16-4aac-96a2-712ec1291601","agents":"TeamsBuilds,TeamsWebview2","audience":"general","cloud":"prod","cpuarch":"x64","desktopVersion":"23320.3021.2567.4799","environment":"prod","id":"820f99c3-ec16-4aac-96a2-712ec1291601","osplatform":"windows","osversion":"10.0.22621","teamslocale":"fr-fr","teamsring":"general","tenantId":"c371d4f5-b34f-4b06-9e66-517fed904220"}, sequence:1, stepDelta:5
2023-12-18T18:11:27.830113+01:00 0x000041c4         EcsFetchCompletion: Ecs settings less than 60s to expiring. Keeping bg task alive until then
2023-12-18T18:11:28.592404+01:00 0x00004298         Scenario: shell_ecs_refresh [start,success] Scenario.Status:success, Scenario.Step:start, delta:0, elapsed:846, elapsedSinceProcessStart:1158, eventpdclevel:1, sequence:0
2023-12-18T18:11:28.592404+01:00 0x00004298         Scenario: shell_ecs_refresh [stop,success] InstanceId:da114562-0788-4ad6-bb8a-264f6b67bdbf, LatestVersion:23320.3021.2567.4799, LatestVersionPath:/BuildSettings/WebView2Canary/x64/latestVersion, Scenario.Mode:1, Scenario.Name:shell_ecs_refresh, Scenario.Status:success, Scenario.Step:stop, StatusCode:200, TeamsBuilds:["arm64","macOS","x64","x86"], TeamsWebView2:["app","auth","autostart","core","deviceCapability","ecs","extensibility","files","logging","m365links","meetNow","nativeModules","security","systemTray","taskbar","telemetry","thirdPartyDevices","tma","toasts","update","uxStateError","webLauncher","webNrc","webview","windowcontrols"], configExpiryTimeInSec:1, delta:5, elapsed:851, elapsedSinceProcessStart:1163, eventpdclevel:1, expiry:Mon, 18 Dec 2023 19:11:30 GMT, previousStep:start, process:updater, requestParameters:{"ClientId":"720bc908-8c03-4c24-ac33-cc7175733a52","aaduserid":"820f99c3-ec16-4aac-96a2-712ec1291601","agents":"TeamsBuilds,TeamsWebview2","audience":"general","cloud":"prod","cpuarch":"x64","desktopVersion":"23320.3021.2567.4799","environment":"prod","id":"820f99c3-ec16-4aac-96a2-712ec1291601","osplatform":"windows","osversion":"10.0.22621","teamslocale":"fr-fr","teamsring":"general","tenantId":"c371d4f5-b34f-4b06-9e66-517fed904220"}, sequence:1, stepDelta:5
2023-12-18T18:11:28.592404+01:00 0x00004298         EcsFetchCompletion: Successfully updated ecs settings from server
2023-12-18T18:11:28.592404+01:00 0x000041c4         EcsBackgroundTask: Completed ecs background task
2023-12-18T18:11:28.592404+01:00 0x00002038         Scenario: shell_bgtask_comserverregistration [stop,success] InstanceId:0fb068b5-edb7-4225-8e78-b842ed44a5c1, Scenario.Mode:3, Scenario.Name:shell_bgtask_comserverregistration, Scenario.Status:success, Scenario.Step:stop, Scenario.Steps:[{"Scenario.Status":"success","Scenario.Step":"stop","delta":874,"elapsed":874,"elapsedSinceProcessStart":1167,"previousStep":"start","sequence":1,"stepDelta":874}], Scenario.StepsEx:[{"taskName":"TeamsTfwEcsTask"}], delta:874, elapsed:874, elapsedSinceProcessStart:1167, eventpdclevel:1, previousStep:start, sequence:1, stepDelta:874, taskName:TeamsTfwEcsTask
2023-12-18T18:11:29.717646+01:00 0x00002038         TelemetryService: Telemetry service stopped
